time,quantity
2009/2,1
2009/3,1
2009/7,1
2010/3,2
2010/4,1
2010/5,1
2010/6,1
2010/8,1
2010/10,1
2010/11,1
2011/2,3
2011/3,1
2011/4,1
2011/5,3
2011/6,1
2011/8,1
2011/10,3
2011/11,2
2012/1,2
2012/2,3
2012/4,2
2012/5,6
2012/6,1
2012/7,3
2012/10,1
2012/11,1
2012/12,2
2013/1,2
2013/2,6
2013/3,2
2013/4,6
2013/5,6
2013/6,8
2013/7,6
2013/8,8
2013/9,10
2013/10,16
2013/11,12
2013/12,10
2014/1,2
2014/2,4
2014/3,9
2014/4,10
2014/5,12
2014/6,11
2014/7,8
2014/8,5
2014/9,15
2014/10,7
2014/11,17
2014/12,12
2015/1,12
2015/2,7
2015/3,15
2015/4,22
2015/5,22
2015/6,11
2015/7,11
2015/8,5
2015/9,15
2015/10,11
2015/11,25
2015/12,14
2016/1,15
2016/2,22
2016/3,24
2016/4,24
2016/5,1
