id,name,html_url,forks,stars,size,language
8984148,pacman,https://github.com/A-limon/pacman,200,435,3284,JavaScript
798932,pacman,https://github.com/daleharvey/pacman,218,388,421,JavaScript
6872396,Pacman,https://github.com/zagayevskiy/Pacman,29,56,19429,C++
3720650,pacman,https://github.com/jesseadams/pacman,39,11,216,Ruby
679560,google_pacman,https://github.com/macek/google_pacman,211,412,491,JavaScript
1516476,PacMan,https://github.com/thiagotnunes/PacMan,8,11,6903,Java
2873243,pacman,https://github.com/pranavmodi/pacman,11,5,291,Python
2155750,PacMan,https://github.com/Reinual/PacMan,10,19,1475,Objective-C
28704310,Pacman,https://github.com/vilbeyli/Pacman,10,16,98810,C#
48824336,pacman,https://github.com/mumuy/pacman,10,14,58,JavaScript
1530109,pacman,https://github.com/tjgillies/pacman,11,32,1629,JavaScript
2166049,pacman,https://github.com/mjg123/pacman,3,37,612,Clojure
3472543,pacman,https://github.com/gregorynicholas/pacman,6,12,223,Python
14144680,pacman,https://github.com/elixir-conspiracy/pacman,6,6,144,Elixir
49948555,pacman,https://github.com/mipt-cs-on-python3/pacman,33,0,265,Python
79476,pacman,https://github.com/schuay/pacman,7,9,2704,C++
4722831,pacman,https://github.com/tonyrog/pacman,7,5,13,Erlang
901543,pacman,https://github.com/lrytz/pacman,2,21,4436,Scala
39572114,pacman,https://github.com/DevAmil/pacman,8,0,255,
4485632,pacman,https://github.com/trinker/pacman,2,39,1844,HTML
7604118,pacman,https://github.com/MarquisdeGeek/pacman,6,2,117,C
11434382,pacman-python,https://github.com/greyblue9/pacman-python,34,28,810,Python
5121515,pacman-canvas,https://github.com/platzhersh/pacman-canvas,35,40,11915,JavaScript
6567439,pacman,https://github.com/webdestroya/pacman,4,3,14256,Java
6813313,PacMan,https://github.com/shrike1978/PacMan,2,5,245,
16246653,Pacman,https://github.com/TroyShaw/Pacman,2,7,338,C
29293637,pacman,https://github.com/luciopanepinto/pacman,3,9,711,JavaScript
4540738,Pacman,https://github.com/ruilov/Pacman,3,6,119,
1835581,pacman,https://github.com/andrewsmedina/pacman,2,7,96,JavaScript
2086757,pacman,https://github.com/harto/pacman,4,9,2893,JavaScript
26483695,pacman,https://github.com/snozza/pacman,4,3,7285,JavaScript
455895,packer,https://github.com/keenerd/packer,60,246,501,Shell
21773953,Towerman,https://github.com/Ceth2001/Towerman,12,0,148,JavaScript
2355205,google-pacman,https://github.com/iidukat/google-pacman,16,6,887,Java
13921764,MSYS2-pacman,https://github.com/Alexpux/MSYS2-pacman,14,73,20938,C
27770166,pacman-projects,https://github.com/monchote/pacman-projects,17,11,372,Python
5101447,PacMan,https://github.com/pac1979/PacMan,1,30,2831,Clojure
17317638,PacMan,https://github.com/zhudhjen/PacMan,3,0,602,C
