id,name,html_url,forks,stars,size,language,watchers,pull_requests,contributors,commits
8984148,pacman,https://github.com/A-limon/pacman,200,435,3284,JavaScript,https://api.github.com/repos/A-limon/pacman/contributors,34,7,8,48
798932,pacman,https://github.com/daleharvey/pacman,218,388,421,JavaScript,https://api.github.com/repos/daleharvey/pacman/contributors,20,4,2,8
6872396,Pacman,https://github.com/zagayevskiy/Pacman,29,56,19429,C++,https://api.github.com/repos/zagayevskiy/Pacman/contributors,12,0,1,99
3720650,pacman,https://github.com/jesseadams/pacman,39,11,216,Ruby,https://api.github.com/repos/jesseadams/pacman/contributors,9,2,6,27
679560,google_pacman,https://github.com/macek/google_pacman,211,412,491,JavaScript,https://api.github.com/repos/macek/google_pacman/contributors,19,0,2,35
1516476,PacMan,https://github.com/thiagotnunes/PacMan,8,11,6903,Java,https://api.github.com/repos/thiagotnunes/PacMan/contributors,4,0,-1,63
2873243,pacman,https://github.com/pranavmodi/pacman,11,5,291,Python,https://api.github.com/repos/pranavmodi/pacman/contributors,1,0,0,7
2155750,PacMan,https://github.com/Reinual/PacMan,10,19,1475,Objective-C,https://api.github.com/repos/Reinual/PacMan/contributors,5,0,-1,7
28704310,Pacman,https://github.com/vilbeyli/Pacman,10,16,98810,C#,https://api.github.com/repos/vilbeyli/Pacman/contributors,3,0,1,41
48824336,pacman,https://github.com/mumuy/pacman,10,14,58,JavaScript,https://api.github.com/repos/mumuy/pacman/contributors,0,0,-1,65
1530109,pacman,https://github.com/tjgillies/pacman,11,32,1629,JavaScript,https://api.github.com/repos/tjgillies/pacman/contributors,1,0,-1,3
2166049,pacman,https://github.com/mjg123/pacman,3,37,612,Clojure,https://api.github.com/repos/mjg123/pacman/contributors,1,0,1,5
3472543,pacman,https://github.com/gregorynicholas/pacman,6,12,223,Python,https://api.github.com/repos/gregorynicholas/pacman/contributors,1,0,-1,17
