time,quantity
2008/2,1
2008/7,1
2008/12,1
2009/1,1
2009/3,1
2009/4,2
2009/5,1
2009/12,1
2010/1,2
2010/3,1
2010/4,2
2010/5,1
2010/6,1
2010/7,1
2010/10,1
2010/11,1
2010/12,1
2011/1,3
2011/2,5
2011/4,3
2011/6,2
2011/7,2
2011/8,2
2011/9,6
2011/10,8
2011/11,5
2011/12,2
2012/1,3
2012/2,2
2012/3,8
2012/4,8
2012/5,27
2012/6,21
2012/7,7
2012/8,13
2012/9,21
2012/10,37
2012/11,35
2012/12,31
2013/1,38
2013/2,46
2013/3,42
2013/4,43
2013/5,52
2013/6,44
2013/7,15
2013/8,54
2013/9,56
2013/10,92
2013/11,79
2013/12,56
2014/1,30
2014/2,2
2014/3,3
2014/4,3
2014/5,5
2014/6,6
2014/7,2
2014/8,4
2014/9,6
2014/10,2
2014/11,4
2014/12,1
2015/1,5
2015/2,3
2015/3,3
2015/4,4
2015/5,6
2015/6,2
2015/7,2
2015/8,1
2015/9,2
2015/10,2
2015/11,2
2015/12,1
2016/1,3
2016/2,2
2016/3,2
2016/4,3
2016/5,1
