time,quantity
2004/01,242
2004/02,302
2004/03,272
2004/04,257
2004/05,314
2004/06,233
2004/07,238
2004/08,307
2004/09,278
2004/10,400
2004/11,281
2004/12,259
2005/01,327
2005/02,258
2005/03,250
2005/04,255
2005/05,336
2005/06,252
2005/07,309
2005/08,273
2005/09,286
2005/10,344
2005/11,269
2005/12,261
2006/01,346
2006/02,278
2006/03,259
2006/04,328
2006/05,281
2006/06,248
2006/07,296
2006/08,243
2006/09,284
2006/10,380
2006/11,295
2006/12,318
2007/01,257
2007/02,292
2007/03,269
2007/04,347
2007/05,294
2007/06,236
2007/07,289
2007/08,231
2007/09,320
2007/10,270
2007/11,290
2007/12,315
2008/01,263
2008/02,287
2008/03,331
2008/04,273
2008/05,276
2008/06,297
2008/07,240
2008/08,306
2008/09,287
2008/10,277
2008/11,339
2008/12,227
2009/01,288
2009/02,277
2009/03,331
2009/04,245
2009/05,302
2009/06,232
2009/07,232
2009/08,274
2009/09,237
2009/10,222
2009/11,281
2009/12,202
2010/01,284
2010/02,237
2010/03,220
2010/04,217
2010/05,296
2010/06,234
2010/07,217
2010/08,272
2010/09,227
2010/10,275
2010/11,220
2010/12,207
2011/01,298
2011/02,220
2011/03,234
2011/04,220
2011/05,297
2011/06,215
2011/07,271
2011/08,220
2011/09,229
2011/10,296
2011/11,242
2011/12,221
2012/01,300
2012/02,243
2012/03,236
2012/04,283
2012/05,230
2012/06,228
2012/07,278
2012/08,208
2012/09,301
2012/10,256
2012/11,247
2012/12,287
2013/01,238
2013/02,249
2013/03,290
2013/04,240
2013/05,226
2013/06,285
2013/07,223
2013/08,220
2013/09,289
2013/10,231
2013/11,228
2013/12,274
2014/01,231
2014/02,220
2014/03,297
2014/04,210
2014/05,213
2014/06,261
2014/07,199
2014/08,252
2014/09,220
2014/10,225
2014/11,280
2014/12,217
2015/01,219
2015/02,226
2015/03,267
2015/04,212
2015/05,267
2015/06,205
2015/07,196
2015/08,245
2015/09,213
2015/10,211
2015/11,273
2015/12,213
2016/01,260
2016/02,213
2016/03,198
2016/04,195
2016/05,99
