time,quantity
2004/01,251
2004/02,349
2004/03,258
2004/04,224
2004/05,289
2004/06,233
2004/07,210
2004/08,328
2004/09,330
2004/10,314
2004/11,276
2004/12,268
2005/01,317
2005/02,311
2005/03,279
2005/04,304
2005/05,350
2005/06,242
2005/07,335
2005/08,240
2005/09,281
2005/10,322
2005/11,246
2005/12,277
2006/01,362
2006/02,282
2006/03,300
2006/04,316
2006/05,266
2006/06,258
2006/07,315
2006/08,217
2006/09,263
2006/10,317
2006/11,261
2006/12,253
2007/01,251
2007/02,247
2007/03,300
2007/04,362
2007/05,271
2007/06,253
2007/07,342
2007/08,260
2007/09,337
2007/10,269
2007/11,287
2007/12,316
2008/01,289
2008/02,292
2008/03,403
2008/04,322
2008/05,275
2008/06,354
2008/07,259
2008/08,321
2008/09,286
2008/10,266
2008/11,358
2008/12,259
2009/01,272
2009/02,336
2009/03,375
2009/04,265
2009/05,297
2009/06,260
2009/07,219
2009/08,284
2009/09,250
2009/10,234
2009/11,305
2009/12,218
2010/01,311
2010/02,274
2010/03,287
2010/04,245
2010/05,288
2010/06,200
2010/07,204
2010/08,266
2010/09,232
2010/10,288
2010/11,213
2010/12,234
2011/01,307
2011/02,255
2011/03,269
2011/04,260
2011/05,298
2011/06,207
2011/07,250
2011/08,190
2011/09,229
2011/10,286
2011/11,216
2011/12,208
2012/01,284
2012/02,214
2012/03,237
2012/04,264
2012/05,199
2012/06,172
2012/07,211
2012/08,182
2012/09,245
2012/10,202
2012/11,194
2012/12,228
2013/01,181
2013/02,200
2013/03,266
2013/04,176
2013/05,179
2013/06,205
2013/07,145
2013/08,163
2013/09,222
2013/10,182
2013/11,187
2013/12,205
2014/01,197
2014/02,192
2014/03,244
2014/04,187
2014/05,187
2014/06,197
2014/07,151
2014/08,207
2014/09,177
2014/10,173
2014/11,233
2014/12,161
2015/01,187
2015/02,195
2015/03,273
2015/04,187
2015/05,209
2015/06,159
2015/07,154
2015/08,195
2015/09,183
2015/10,183
2015/11,231
2015/12,144
2016/01,216
2016/02,188
2016/03,192
2016/04,184
2016/05,77
