time,quantity
2004/01,303
2004/02,368
2004/03,324
2004/04,338
2004/05,439
2004/06,300
2004/07,263
2004/08,266
2004/09,274
2004/10,355
2004/11,338
2004/12,307
2005/01,369
2005/02,295
2005/03,285
2005/04,309
2005/05,409
2005/06,281
2005/07,280
2005/08,191
2005/09,221
2005/10,333
2005/11,313
2005/12,243
2006/01,315
2006/02,278
2006/03,244
2006/04,323
2006/05,269
2006/06,225
2006/07,248
2006/08,188
2006/09,224
2006/10,268
2006/11,244
2006/12,261
2007/01,223
2007/02,199
2007/03,212
2007/04,275
2007/05,241
2007/06,225
2007/07,221
2007/08,172
2007/09,238
2007/10,202
2007/11,237
2007/12,232
2008/01,188
2008/02,168
2008/03,230
2008/04,199
2008/05,200
2008/06,232
2008/07,151
2008/08,203
2008/09,155
2008/10,177
2008/11,231
2008/12,150
2009/01,165
2009/02,158
2009/03,207
2009/04,173
2009/05,229
2009/06,171
2009/07,151
2009/08,174
2009/09,159
2009/10,171
2009/11,228
2009/12,152
2010/01,196
2010/02,158
2010/03,171
2010/04,167
2010/05,220
2010/06,159
2010/07,124
2010/08,159
2010/09,139
2010/10,182
2010/11,159
2010/12,133
2011/01,178
2011/02,144
2011/03,146
2011/04,147
2011/05,193
2011/06,156
2011/07,166
2011/08,113
2011/09,129
2011/10,196
2011/11,158
2011/12,132
2012/01,166
2012/02,136
2012/03,138
2012/04,176
2012/05,140
2012/06,152
2012/07,175
2012/08,107
2012/09,161
2012/10,123
2012/11,131
2012/12,146
2013/01,122
2013/02,119
2013/03,151
2013/04,129
2013/05,124
2013/06,147
2013/07,96
2013/08,95
2013/09,132
2013/10,116
2013/11,127
2013/12,138
2014/01,119
2014/02,125
2014/03,140
2014/04,122
2014/05,120
2014/06,142
2014/07,94
2014/08,123
2014/09,104
2014/10,110
2014/11,156
2014/12,106
2015/01,106
2015/02,107
2015/03,138
2015/04,115
2015/05,172
2015/06,146
2015/07,120
2015/08,132
2015/09,112
2015/10,124
2015/11,163
2015/12,112
2016/01,159
2016/02,112
2016/03,112
2016/04,126
2016/05,60
