time,quantity
2004/01,349
2004/02,475
2004/03,347
2004/04,349
2004/05,414
2004/06,313
2004/07,320
2004/08,407
2004/09,338
2004/10,444
2004/11,382
2004/12,299
2005/01,407
2005/02,354
2005/03,324
2005/04,343
2005/05,376
2005/06,288
2005/07,364
2005/08,272
2005/09,291
2005/10,355
2005/11,272
2005/12,229
2006/01,331
2006/02,284
2006/03,269
2006/04,332
2006/05,250
2006/06,241
2006/07,282
2006/08,220
2006/09,255
2006/10,300
2006/11,231
2006/12,251
2007/01,220
2007/02,248
2007/03,260
2007/04,363
2007/05,245
2007/06,247
2007/07,285
2007/08,209
2007/09,265
2007/10,220
2007/11,205
2007/12,215
2008/01,215
2008/02,218
2008/03,259
2008/04,222
2008/05,193
2008/06,272
2008/07,204
2008/08,228
2008/09,212
2008/10,193
2008/11,238
2008/12,152
2009/01,266
2009/02,247
2009/03,262
2009/04,209
2009/05,251
2009/06,205
2009/07,189
2009/08,229
2009/09,192
2009/10,193
2009/11,226
2009/12,138
2010/01,210
2010/02,179
2010/03,187
2010/04,186
2010/05,226
2010/06,171
2010/07,173
2010/08,223
2010/09,183
2010/10,228
2010/11,190
2010/12,150
2011/01,213
2011/02,187
2011/03,188
2011/04,178
2011/05,215
2011/06,189
2011/07,211
2011/08,156
2011/09,173
2011/10,214
2011/11,171
2011/12,154
2012/01,210
2012/02,179
2012/03,175
2012/04,201
2012/05,159
2012/06,163
2012/07,209
2012/08,153
2012/09,204
2012/10,163
2012/11,149
2012/12,157
2013/01,152
2013/02,159
2013/03,194
2013/04,160
2013/05,145
2013/06,175
2013/07,140
2013/08,136
2013/09,182
2013/10,156
2013/11,157
2013/12,155
2014/01,148
2014/02,153
2014/03,193
2014/04,153
2014/05,140
2014/06,171
2014/07,137
2014/08,170
2014/09,150
2014/10,146
2014/11,175
2014/12,111
2015/01,132
2015/02,145
2015/03,176
2015/04,146
2015/05,173
2015/06,139
2015/07,158
2015/08,181
2015/09,152
2015/10,154
2015/11,178
2015/12,113
2016/01,174
2016/02,142
2016/03,143
2016/04,149
2016/05,82
