time,quantity
2004/01,0
2004/02,0
2004/03,0
2004/04,0
2004/05,0
2004/06,0
2004/07,0
2004/08,0
2004/09,0
2004/10,0
2004/11,0
2004/12,0
2005/01,0
2005/02,0
2005/03,0
2005/04,0
2005/05,0
2005/06,0
2005/07,0
2005/08,0
2005/09,0
2005/10,0
2005/11,0
2005/12,0
2006/01,0
2006/02,0
2006/03,0
2006/04,0
2006/05,0
2006/06,0
2006/07,0
2006/08,0
2006/09,0
2006/10,0
2006/11,0
2006/12,0
2007/01,0
2007/02,0
2007/03,0
2007/04,0
2007/05,0
2007/06,0
2007/07,0
2007/08,0
2007/09,0
2007/10,0
2007/11,0
2007/12,0
2008/01,0
2008/02,0
2008/03,1
2008/04,4
2008/05,4
2008/06,7
2008/07,7
2008/08,10
2008/09,8
2008/10,9
2008/11,11
2008/12,10
2009/01,13
2009/02,12
2009/03,16
2009/04,16
2009/05,19
2009/06,16
2009/07,16
2009/08,59
2009/09,23
2009/10,21
2009/11,28
2009/12,20
2010/01,31
2010/02,25
2010/03,27
2010/04,29
2010/05,39
2010/06,30
2010/07,32
2010/08,43
2010/09,38
2010/10,53
2010/11,44
2010/12,43
2011/01,63
2011/02,56
2011/03,60
2011/04,66
2011/05,88
2011/06,83
2011/07,99
2011/08,79
2011/09,88
2011/10,109
2011/11,89
2011/12,85
2012/01,120
2012/02,112
2012/03,119
2012/04,145
2012/05,118
2012/06,122
2012/07,164
2012/08,133
2012/09,174
2012/10,142
2012/11,135
2012/12,158
2013/01,161
2013/02,164
2013/03,211
2013/04,174
2013/05,174
2013/06,216
2013/07,180
2013/08,180
2013/09,232
2013/10,201
2013/11,204
2013/12,221
2014/01,209
2014/02,225
2014/03,323
2014/04,255
2014/05,243
2014/06,277
2014/07,228
2014/08,290
2014/09,245
2014/10,264
2014/11,335
2014/12,237
2015/01,273
2015/02,282
2015/03,399
2015/04,306
2015/05,372
2015/06,300
2015/07,308
2015/08,385
2015/09,325
2015/10,340
2015/11,423
2015/12,295
2016/01,448
2016/02,371
2016/03,376
2016/04,389
2016/05,183
