time,quantity
2004/01,92
2004/02,152
2004/03,98
2004/04,197
2004/05,238
2004/06,137
2004/07,174
2004/08,172
2004/09,170
2004/10,219
2004/11,188
2004/12,236
2005/01,227
2005/02,178
2005/03,153
2005/04,162
2005/05,224
2005/06,208
2005/07,257
2005/08,191
2005/09,167
2005/10,221
2005/11,195
2005/12,321
2006/01,296
2006/02,204
2006/03,183
2006/04,236
2006/05,208
2006/06,201
2006/07,231
2006/08,176
2006/09,171
2006/10,195
2006/11,158
2006/12,224
2007/01,149
2007/02,140
2007/03,142
2007/04,183
2007/05,137
2007/06,124
2007/07,158
2007/08,118
2007/09,151
2007/10,113
2007/11,110
2007/12,139
2008/01,87
2008/02,91
2008/03,109
2008/04,73
2008/05,80
2008/06,95
2008/07,83
2008/08,85
2008/09,64
2008/10,69
2008/11,81
2008/12,71
2009/01,59
2009/02,51
2009/03,73
2009/04,57
2009/05,68
2009/06,53
2009/07,55
2009/08,59
2009/09,52
2009/10,52
2009/11,72
2009/12,65
2010/01,61
2010/02,47
2010/03,44
2010/04,45
2010/05,60
2010/06,38
2010/07,48
2010/08,59
2010/09,46
2010/10,57
2010/11,51
2010/12,46
2011/01,53
2011/02,45
2011/03,49
2011/04,45
2011/05,54
2011/06,40
2011/07,58
2011/08,47
2011/09,44
2011/10,61
2011/11,50
2011/12,52
2012/01,52
2012/02,40
2012/03,39
2012/04,42
2012/05,33
2012/06,39
2012/07,43
2012/08,39
2012/09,37
2012/10,29
2012/11,31
2012/12,40
2013/01,27
2013/02,24
2013/03,34
2013/04,30
2013/05,26
2013/06,31
2013/07,24
2013/08,25
2013/09,32
2013/10,25
2013/11,29
2013/12,40
2014/01,26
2014/02,30
2014/03,38
2014/04,32
2014/05,32
2014/06,38
2014/07,30
2014/08,37
2014/09,33
2014/10,36
2014/11,45
2014/12,37
2015/01,32
2015/02,31
2015/03,42
2015/04,33
2015/05,38
2015/06,32
2015/07,36
2015/08,41
2015/09,39
2015/10,39
2015/11,54
2015/12,43
2016/01,52
2016/02,35
2016/03,38
2016/04,34
2016/05,18
