time,quantity
2004/01,77
2004/02,96
2004/03,73
2004/04,75
2004/05,93
2004/06,76
2004/07,78
2004/08,96
2004/09,81
2004/10,102
2004/11,83
2004/12,82
2005/01,98
2005/02,80
2005/03,79
2005/04,80
2005/05,102
2005/06,85
2005/07,103
2005/08,81
2005/09,84
2005/10,103
2005/11,82
2005/12,83
2006/01,99
2006/02,77
2006/03,76
2006/04,95
2006/05,75
2006/06,90
2006/07,94
2006/08,77
2006/09,76
2006/10,95
2006/11,75
2006/12,97
2007/01,74
2007/02,76
2007/03,76
2007/04,99
2007/05,78
2007/06,77
2007/07,101
2007/08,81
2007/09,99
2007/10,77
2007/11,83
2007/12,106
2008/01,80
2008/02,79
2008/03,99
2008/04,77
2008/05,79
2008/06,99
2008/07,83
2008/08,113
2008/09,84
2008/10,85
2008/11,106
2008/12,90
2009/01,83
2009/02,84
2009/03,105
2009/04,83
2009/05,104
2009/06,84
2009/07,87
2009/08,113
2009/09,91
2009/10,93
2009/11,126
2009/12,102
2010/01,115
2010/02,92
2010/03,93
2010/04,97
2010/05,117
2010/06,94
2010/07,100
2010/08,126
2010/09,100
2010/10,136
2010/11,122
2010/12,128
2011/01,143
2011/02,120
2011/03,113
2011/04,115
2011/05,147
2011/06,125
2011/07,153
2011/08,130
2011/09,124
2011/10,162
2011/11,130
2011/12,137
2012/01,153
2012/02,115
2012/03,107
2012/04,134
2012/05,103
2012/06,104
2012/07,138
2012/08,111
2012/09,135
2012/10,108
2012/11,110
2012/12,151
2013/01,108
2013/02,105
2013/03,126
2013/04,99
2013/05,102
2013/06,130
2013/07,103
2013/08,100
2013/09,130
2013/10,106
2013/11,107
2013/12,140
2014/01,100
2014/02,102
2014/03,122
2014/04,107
2014/05,99
2014/06,119
2014/07,97
2014/08,131
2014/09,101
2014/10,101
2014/11,129
2014/12,105
2015/01,97
2015/02,100
2015/03,124
2015/04,97
2015/05,125
2015/06,98
2015/07,100
2015/08,125
2015/09,104
2015/10,200
2015/11,373
2015/12,230
2016/01,232
2016/02,160
2016/03,141
2016/04,126
2016/05,59
