time,quantity
2004/01,144
2004/02,190
2004/03,138
2004/04,135
2004/05,146
2004/06,120
2004/07,119
2004/08,153
2004/09,121
2004/10,140
2004/11,118
2004/12,120
2005/01,150
2005/02,121
2005/03,121
2005/04,122
2005/05,155
2005/06,140
2005/07,184
2005/08,140
2005/09,134
2005/10,179
2005/11,143
2005/12,156
2006/01,189
2006/02,144
2006/03,133
2006/04,191
2006/05,151
2006/06,151
2006/07,194
2006/08,148
2006/09,143
2006/10,181
2006/11,144
2006/12,190
2007/01,143
2007/02,157
2007/03,169
2007/04,239
2007/05,259
2007/06,257
2007/07,358
2007/08,241
2007/09,265
2007/10,202
2007/11,194
2007/12,242
2008/01,181
2008/02,188
2008/03,216
2008/04,173
2008/05,173
2008/06,225
2008/07,167
2008/08,208
2008/09,164
2008/10,158
2008/11,211
2008/12,178
2009/01,178
2009/02,178
2009/03,237
2009/04,217
2009/05,267
2009/06,222
2009/07,224
2009/08,298
2009/09,249
2009/10,250
2009/11,296
2009/12,236
2010/01,287
2010/02,250
2010/03,265
2010/04,280
2010/05,342
2010/06,258
2010/07,272
2010/08,341
2010/09,247
2010/10,326
2010/11,287
2010/12,280
2011/01,334
2011/02,266
2011/03,250
2011/04,249
2011/05,299
2011/06,235
2011/07,283
2011/08,215
2011/09,205
2011/10,251
2011/11,206
2011/12,212
2012/01,264
2012/02,221
2012/03,262
2012/04,369
2012/05,319
2012/06,366
2012/07,412
2012/08,278
2012/09,310
2012/10,218
2012/11,222
2012/12,287
2013/01,221
2013/02,221
2013/03,297
2013/04,245
2013/05,236
2013/06,282
2013/07,218
2013/08,209
2013/09,239
2013/10,190
2013/11,190
2013/12,244
2014/01,191
2014/02,194
2014/03,235
2014/04,187
2014/05,177
2014/06,211
2014/07,173
2014/08,201
2014/09,161
2014/10,162
2014/11,203
2014/12,169
2015/01,160
2015/02,159
2015/03,205
2015/04,174
2015/05,229
2015/06,188
2015/07,192
2015/08,236
2015/09,182
2015/10,181
2015/11,225
2015/12,185
2016/01,222
2016/02,164
2016/03,170
2016/04,168
2016/05,83
