time,quantity
2004/01,129
2004/02,160
2004/03,134
2004/04,117
2004/05,149
2004/06,129
2004/07,132
2004/08,159
2004/09,133
2004/10,161
2004/11,127
2004/12,121
2005/01,161
2005/02,136
2005/03,150
2005/04,122
2005/05,163
2005/06,130
2005/07,154
2005/08,138
2005/09,141
2005/10,180
2005/11,138
2005/12,142
2006/01,185
2006/02,171
2006/03,186
2006/04,185
2006/05,139
2006/06,158
2006/07,170
2006/08,139
2006/09,144
2006/10,192
2006/11,156
2006/12,189
2007/01,147
2007/02,149
2007/03,144
2007/04,177
2007/05,142
2007/06,140
2007/07,256
2007/08,160
2007/09,194
2007/10,156
2007/11,163
2007/12,198
2008/01,167
2008/02,162
2008/03,192
2008/04,153
2008/05,150
2008/06,191
2008/07,157
2008/08,204
2008/09,167
2008/10,173
2008/11,211
2008/12,174
2009/01,167
2009/02,173
2009/03,226
2009/04,181
2009/05,248
2009/06,178
2009/07,177
2009/08,221
2009/09,177
2009/10,175
2009/11,216
2009/12,175
2010/01,237
2010/02,183
2010/03,177
2010/04,174
2010/05,244
2010/06,174
2010/07,192
2010/08,240
2010/09,189
2010/10,225
2010/11,175
2010/12,183
2011/01,282
2011/02,188
2011/03,183
2011/04,185
2011/05,263
2011/06,240
2011/07,225
2011/08,183
2011/09,188
2011/10,237
2011/11,189
2011/12,212
2012/01,260
2012/02,202
2012/03,199
2012/04,235
2012/05,201
2012/06,192
2012/07,250
2012/08,208
2012/09,252
2012/10,217
2012/11,203
2012/12,270
2013/01,263
2013/02,225
2013/03,257
2013/04,208
2013/05,214
2013/06,249
2013/07,264
2013/08,219
2013/09,275
2013/10,214
2013/11,208
2013/12,249
2014/01,209
2014/02,213
2014/03,269
2014/04,212
2014/05,218
2014/06,244
2014/07,202
2014/08,320
2014/09,250
2014/10,250
2014/11,299
2014/12,241
2015/01,237
2015/02,222
2015/03,257
2015/04,236
2015/05,267
2015/06,202
2015/07,221
2015/08,337
2015/09,249
2015/10,234
2015/11,306
2015/12,332
2016/01,323
2016/02,222
2016/03,211
2016/04,222
2016/05,100
