time,quantity
2004/01,169
2004/02,212
2004/03,174
2004/04,175
2004/05,211
2004/06,173
2004/07,177
2004/08,220
2004/09,182
2004/10,226
2004/11,178
2004/12,187
2005/01,230
2005/02,198
2005/03,193
2005/04,189
2005/05,237
2005/06,207
2005/07,238
2005/08,188
2005/09,195
2005/10,255
2005/11,201
2005/12,212
2006/01,260
2006/02,204
2006/03,203
2006/04,254
2006/05,203
2006/06,197
2006/07,239
2006/08,204
2006/09,210
2006/10,270
2006/11,215
2006/12,271
2007/01,218
2007/02,216
2007/03,212
2007/04,266
2007/05,210
2007/06,215
2007/07,262
2007/08,216
2007/09,270
2007/10,233
2007/11,247
2007/12,296
2008/01,236
2008/02,246
2008/03,295
2008/04,227
2008/05,223
2008/06,278
2008/07,217
2008/08,292
2008/09,246
2008/10,248
2008/11,318
2008/12,255
2009/01,261
2009/02,260
2009/03,320
2009/04,239
2009/05,303
2009/06,245
2009/07,225
2009/08,298
2009/09,247
2009/10,253
2009/11,310
2009/12,243
2010/01,318
2010/02,258
2010/03,262
2010/04,253
2010/05,312
2010/06,277
2010/07,231
2010/08,305
2010/09,248
2010/10,327
2010/11,265
2010/12,257
2011/01,329
2011/02,257
2011/03,255
2011/04,266
2011/05,320
2011/06,258
2011/07,305
2011/08,262
2011/09,274
2011/10,351
2011/11,283
2011/12,276
2012/01,331
2012/02,271
2012/03,262
2012/04,324
2012/05,259
2012/06,263
2012/07,319
2012/08,270
2012/09,339
2012/10,258
2012/11,264
2012/12,330
2013/01,263
2013/02,264
2013/03,324
2013/04,253
2013/05,251
2013/06,333
2013/07,255
2013/08,254
2013/09,328
2013/10,269
2013/11,267
2013/12,340
2014/01,285
2014/02,284
2014/03,347
2014/04,281
2014/05,278
2014/06,358
2014/07,287
2014/08,375
2014/09,301
2014/10,304
2014/11,382
2014/12,307
2015/01,306
2015/02,302
2015/03,384
2015/04,308
2015/05,377
2015/06,308
2015/07,307
2015/08,420
2015/09,320
2015/10,313
2015/11,381
2015/12,315
2016/01,399
2016/02,301
2016/03,300
2016/04,294
2016/05,148
