time,quantity
2004/01,100
2004/02,118
2004/03,98
2004/04,94
2004/05,115
2004/06,86
2004/07,94
2004/08,123
2004/09,105
2004/10,134
2004/11,95
2004/12,92
2005/01,116
2005/02,88
2005/03,93
2005/04,93
2005/05,124
2005/06,96
2005/07,116
2005/08,93
2005/09,90
2005/10,119
2005/11,92
2005/12,103
2006/01,130
2006/02,107
2006/03,103
2006/04,126
2006/05,104
2006/06,107
2006/07,125
2006/08,102
2006/09,97
2006/10,126
2006/11,94
2006/12,127
2007/01,90
2007/02,91
2007/03,94
2007/04,123
2007/05,101
2007/06,99
2007/07,135
2007/08,121
2007/09,180
2007/10,129
2007/11,132
2007/12,154
2008/01,119
2008/02,120
2008/03,146
2008/04,128
2008/05,116
2008/06,135
2008/07,121
2008/08,285
2008/09,380
2008/10,369
2008/11,373
2008/12,240
2009/01,198
2009/02,173
2009/03,208
2009/04,169
2009/05,202
2009/06,178
2009/07,174
2009/08,179
2009/09,138
2009/10,179
2009/11,203
2009/12,156
2010/01,175
2010/02,129
2010/03,126
2010/04,127
2010/05,165
2010/06,126
2010/07,126
2010/08,160
2010/09,118
2010/10,146
2010/11,113
2010/12,115
2011/01,162
2011/02,135
2011/03,131
2011/04,135
2011/05,161
2011/06,130
2011/07,154
2011/08,126
2011/09,120
2011/10,156
2011/11,127
2011/12,131
2012/01,155
2012/02,118
2012/03,111
2012/04,142
2012/05,111
2012/06,114
2012/07,145
2012/08,113
2012/09,139
2012/10,106
2012/11,106
2012/12,131
2013/01,104
2013/02,106
2013/03,133
2013/04,108
2013/05,106
2013/06,157
2013/07,131
2013/08,118
2013/09,138
2013/10,108
2013/11,106
2013/12,132
2014/01,108
2014/02,105
2014/03,133
2014/04,109
2014/05,106
2014/06,143
2014/07,114
2014/08,146
2014/09,113
2014/10,102
2014/11,126
2014/12,103
2015/01,101
2015/02,103
2015/03,132
2015/04,109
2015/05,134
2015/06,104
2015/07,104
2015/08,130
2015/09,100
2015/10,101
2015/11,125
2015/12,102
2016/01,131
2016/02,100
2016/03,101
2016/04,100
2016/05,51
