time,quantity
2011/2,1
2011/3,2
2011/5,2
2011/7,1
2011/9,1
2011/10,1
2012/1,1
2012/2,2
2012/4,3
2012/5,1
2012/6,1
2012/7,1
2012/8,1
2012/9,3
2012/10,5
2012/11,1
2012/12,1
2013/1,2
2013/2,1
2013/3,3
2013/4,1
2013/5,74
2013/6,8
2013/7,14
2013/8,8
2013/9,7
2013/10,15
2013/11,8
2013/12,8
2014/1,13
2014/2,14
2014/3,11
2014/4,46
2014/5,16
2014/6,38
2014/7,31
2014/8,66
2014/9,21
2014/10,35
2014/11,46
2014/12,78
2015/1,87
2015/2,60
2015/3,40
2015/4,14
2015/5,18
2015/6,8
2015/7,18
2015/8,19
2015/9,17
2015/10,31
2015/11,19
2015/12,13
2016/1,18
2016/2,20
2016/3,16
2016/4,10
