id,name,html_url,forks,stars,size,language,url,created_at,watchers,pull_requests,commits
3473437,dijkstra,https://github.com/andrewhayward/dijkstra,27,68,107,JavaScript,https://api.github.com/repos/andrewhayward/dijkstra,2012-02-17T20:11:10Z,7,0,4
1398985,dijkstra,https://github.com/stewbob/dijkstra,10,11,111,Java,https://api.github.com/repos/stewbob/dijkstra,2011-02-22T19:23:52Z,4,0,2
56004753,dijkstra-cartography,https://github.com/ibaaj/dijkstra-cartography,36,932,49829,C++,https://api.github.com/repos/ibaaj/dijkstra-cartography,2016-04-11T20:19:57Z,28,0,10
7941142,dijkstra,https://github.com/julianbrowne/dijkstra,5,18,494,JavaScript,https://api.github.com/repos/julianbrowne/dijkstra,2013-01-31T17:03:40Z,1,0,13
8120179,dijkstras-algorithm,https://github.com/mburst/dijkstras-algorithm,56,126,21,Java,https://api.github.com/repos/mburst/dijkstras-algorithm,2013-02-10T07:26:42Z,13,0,16
15601505,dijkstra,https://github.com/gaye/dijkstra,3,5,100,JavaScript,https://api.github.com/repos/gaye/dijkstra,2014-01-03T04:51:46Z,1,0,1
5071281,Dijkstra,https://github.com/mapa17/Dijkstra,4,2,135,C,https://api.github.com/repos/mapa17/Dijkstra,2012-07-16T18:11:36Z,1,0,5
20595513,Dijkstra-swift,https://github.com/juliengomes/Dijkstra-swift,9,29,185,Swift,https://api.github.com/repos/juliengomes/Dijkstra-swift,2014-06-07T14:59:29Z,2,0,11
125576,dijkstra,https://github.com/dbrady/dijkstra,1,6,100,Ruby,https://api.github.com/repos/dbrady/dijkstra,2009-02-10T05:40:10Z,2,0,3
23679618,dijkstra,https://github.com/thinkphp/dijkstra,2,4,227,C++,https://api.github.com/repos/thinkphp/dijkstra,2014-09-04T21:15:42Z,2,0,35
5143636,dijkstra,https://github.com/maryrosecook/dijkstra,1,16,144,Clojure,https://api.github.com/repos/maryrosecook/dijkstra,2012-07-22T18:24:33Z,3,0,12
53753541,DijkstraPrimes,https://github.com/HeinrichHartmann/DijkstraPrimes,6,14,6,Lua,https://api.github.com/repos/HeinrichHartmann/DijkstraPrimes,2016-03-12T21:11:26Z,5,2,15
8390195,mj-dijkstra,https://github.com/dmitrikozlov/mj-dijkstra,6,9,352,Objective-C,https://api.github.com/repos/dmitrikozlov/mj-dijkstra,2013-02-24T12:05:00Z,3,1,9
1898349,Dijkstra,https://github.com/fedelebron/Dijkstra,2,6,122,C,https://api.github.com/repos/fedelebron/Dijkstra,2011-06-15T04:10:13Z,4,0,4
47256024,dijkstra,https://github.com/vterron/dijkstra,1,6,8,Python,https://api.github.com/repos/vterron/dijkstra,2015-12-02T11:12:43Z,1,0,6
579637,dijkstra,https://github.com/rpersaud/dijkstra,2,2,292,Java,https://api.github.com/repos/rpersaud/dijkstra,2010-03-25T20:36:23Z,1,0,14
10100128,Dijkstra,https://github.com/CharlesGarrocho/Dijkstra,2,1,186,FORTRAN,https://api.github.com/repos/CharlesGarrocho/Dijkstra,2013-05-16T11:52:59Z,0,0,40
31375461,dijkstra,https://github.com/diogomg/dijkstra,2,0,178,C,https://api.github.com/repos/diogomg/dijkstra,2015-02-26T16:08:13Z,2,0,18
2561172,scala-dijkstra,https://github.com/yin/scala-dijkstra,4,6,136,Scala,https://api.github.com/repos/yin/scala-dijkstra,2011-10-12T08:41:40Z,1,0,3
