time,quantity
2004/01,118
2004/02,149
2004/03,113
2004/04,113
2004/05,123
2004/06,91
2004/07,93
2004/08,118
2004/09,113
2004/10,130
2004/11,118
2004/12,113
2005/01,139
2005/02,114
2005/03,116
2005/04,110
2005/05,128
2005/06,96
2005/07,126
2005/08,102
2005/09,99
2005/10,138
2005/11,117
2005/12,116
2006/01,142
2006/02,115
2006/03,102
2006/04,131
2006/05,100
2006/06,88
2006/07,112
2006/08,88
2006/09,108
2006/10,129
2006/11,102
2006/12,133
2007/01,104
2007/02,97
2007/03,95
2007/04,119
2007/05,89
2007/06,83
2007/07,104
2007/08,82
2007/09,117
2007/10,91
2007/11,116
2007/12,135
2008/01,114
2008/02,110
2008/03,130
2008/04,106
2008/05,99
2008/06,112
2008/07,94
2008/08,118
2008/09,103
2008/10,109
2008/11,142
2008/12,122
2009/01,123
2009/02,117
2009/03,151
2009/04,119
2009/05,133
2009/06,100
2009/07,101
2009/08,129
2009/09,109
2009/10,118
2009/11,156
2009/12,138
2010/01,172
2010/02,149
2010/03,159
2010/04,243
2010/05,184
2010/06,122
2010/07,131
2010/08,158
2010/09,132
2010/10,174
2010/11,161
2010/12,173
2011/01,213
2011/02,163
2011/03,175
2011/04,184
2011/05,204
2011/06,143
2011/07,175
2011/08,136
2011/09,146
2011/10,183
2011/11,163
2011/12,173
2012/01,284
2012/02,167
2012/03,161
2012/04,208
2012/05,159
2012/06,142
2012/07,183
2012/08,146
2012/09,189
2012/10,144
2012/11,161
2012/12,221
2013/01,177
2013/02,171
2013/03,228
2013/04,164
2013/05,154
2013/06,184
2013/07,147
2013/08,148
2013/09,195
2013/10,149
2013/11,171
2013/12,230
2014/01,193
2014/02,175
2014/03,214
2014/04,162
2014/05,152
2014/06,174
2014/07,141
2014/08,177
2014/09,145
2014/10,146
2014/11,213
2014/12,184
2015/01,179
2015/02,170
2015/03,209
2015/04,159
2015/05,186
2015/06,143
2015/07,139
2015/08,178
2015/09,147
2015/10,158
2015/11,214
2015/12,197
2016/01,236
2016/02,177
2016/03,173
2016/04,164
2016/05,84
